SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
31003129430,27,1800,1204,373,2471,0.8,2374,3.2
31003129431,27,1795,1123,273,2283,0.8,2178,3
31003129432,29,1900,1112,395,2222,0.7,2079,2.8
31003129433,27,1950,1045,380,2307,0.7,2200,2.9
31003129434,54,2167,754,375,2250,0.8,1958,2.7
31003129435,30,1636,1015,360,2184,0.7,1722,2.5
31003129436,29,1762,987,400,2312,0.7,2156,2.7
31003129501,61,1089,456,229,1125,0.7,745,2
31003129502,29,1103,569,270,1166,0.8,1070,2.5
31003129503,42,0,900,265,2250,0.8,2250,2.6
31003129504,42,1083,525,300,1463,0.7,1410,2.5
31003129505,32,1083,586,250,1321,0.9,1086,2.6
31003129506,36,1013,486,235,1153,0.8,1023,2.5
31003129507,36,1109,612,300,1481,0.8,1325,2.6
31003129508,41,1236,586,290,1395,0.8,1287,2.4
31003129509,27,1000,480,250,1170,0.9,1034,3.1
31003129510,0,0,0,0,0,0,0,0
31004129701,31,1200,584,335,1132,0.8,1031,2.6
31004129702,33,1257,481,254,1264,0.8,1054,2.5
31004129703,36,1219,632,280,1317,0.8,1171,2.5
31004129704,40,1810,770,390,2340,0.8,2261,3.1
31004129705,36,1733,712,350,2113,0.8,2017,3.1
31004129706,44,1733,703,413,2036,0.7,2033,2.8
31004129707,38,1733,825,380,2146,0.8,1960,3
31004129708,37,1582,860,350,2087,0.8,1955,2.8
31004129709,35,1517,794,300,1846,0.8,1741,2.6
31004129710,41,1200,587,295,1375,0.7,1215,2.4
31004129711,43,1213,608,270,1786,0.8,1531,2.7
31004129712,36,1538,749,265,1928,0.9,1533,2.6
31004129713,38,1587,852,378,2250,0.7,1958,2.7
31004129714,0,0,0,0,0,0,0,0
31004129715,41,2000,645,325,2028,0.8,1857,2.9
31004129716,42,1820,873,430,2360,0.7,2263,2.8
31004129717,39,1733,762,278,2333,0.8,2236,3.1
31004129718,37,1603,808,335,2156,0.8,1906,2.8
31004129719,38,1500,738,350,1857,0.8,1660,2.6
31004129720,34,1585,953,373,2159,0.8,2007,2.8
31004129721,42,1733,741,350,2009,0.8,1974,2.7
31004129722,36,1775,762,350,2097,0.8,1892,3
31004129723,37,1568,780,348,1805,0.8,1836,2.7
31004129724,39,1896,892,395,2277,0.8,2146,2.9
31004129801,40,0,1208,150,2250,0.6,2124,2
31004129901,36,1517,487,300,1589,0.8,1292,2.8
31004129902,31,1430,665,320,1583,0.8,1446,3
31004129903,40,1170,718,280,1239,0.7,1073,2.1
31004129904,43,1409,629,320,1656,0.7,1267,2.4
