route_id	service_id	trip_id	trip_headsign	direction_id	block_id	shape_id
433-3396	BT 23_24-35208	26581492-BT 23_24-35208	"Spring Hill, Wickham Tce"	0		4330026
130-3396	BT 23_24-35208	26581493-BT 23_24-35208	Queen Street station	0		1300006
330-3396	BT 23_24-35208	26581494-BT 23_24-35208	Cultural Centre station	0		3300027
460-3396	BT 23_24-35208	26581495-BT 23_24-35208	Queen Street station	0		4600034
467-3396	BT 23_24-35208	26581496-BT 23_24-35208	Oxley station	1		4670038
333-3396	BT 23_24-35208	26581497-BT 23_24-35208	Chermside Interchange	1		3330020
222-3396	BT 23_24-35208	26581498-BT 23_24-35208	Carindale interchange	1		2220002
60-3396	BT 23_24-35208	26581499-BT 23_24-35208	Teneriffe Ferry	0		600061
204-3396	BT 23_24-35208	26581500-BT 23_24-35208	"Fortitude Valley, Warner St"	0		2040628
185-3396	BT 23_24-35208	26581501-BT 23_24-35208	"Fortitude Valley, Ballow St"	0		1850007
150-3396	BT 23_24-35208	26581502-BT 23_24-35208	Queen Street station	0		1500016
598-3396	BT 23_24-35208	26581503-BT 23_24-35208	Indooroopilly Interchange	1		5980010
60-3396	BT 23_24-35208	26581504-BT 23_24-35208	West End Ferry	1		600059
30-3396	BT 23_24-35208	26581505-BT 23_24-35208	"City, Queen St"	1		300002
213-3396	BT 23_24-35208	26581506-BT 23_24-35208	Carindale interchange	1		2130040
66-3396	BT 23_24-35208	26581507-BT 23_24-35208	RBWH station	0		660014
111-3396	BT 23_24-35208	26581508-BT 23_24-35208	Roma Street station	0		1110008
199-3396	BT 23_24-35208	26581509-BT 23_24-35208	West End Ferry	1		1990021
199-3396	BT 23_24-35208	26581510-BT 23_24-35208	"Teneriffe, Commercial Rd"	0		1990020
61-3396	BT 23_24-35208	26581511-BT 23_24-35208	Ashgrove Village	1		610018
333-3396	BT 23_24-35208	26581512-BT 23_24-35208	Cultural Centre station	0		3330018
338-3396	BT 23_24-35208	26581513-BT 23_24-35208	Chermside Shopping Centre	0		3380022
230-3396	BT 23_24-35208	26581514-BT 23_24-35208	"Balmoral, Apollo Rd"	1		2300011
138-3396	BT 23_24-35208	26581515-BT 23_24-35208	"Riverside, Creek St"	0		1380001
