,o_lat,o_lon,frequency,Median_age_persons,Med_mort_repaymnt_monthly,Median_rent_weekly,Med_tot_hh_incom_weekly,Average_household_size,quantity_class
229,-27.415423,153.035279,174.0,33.0,1625.0,400.0,1875.0,1.9,High
230,-27.453004,153.028491,64.0,39.0,1306.0,275.0,993.0,1.5,Low
231,-27.455073,153.026743,64.0,35.0,3043.0,418.0,2125.0,2.2,Low
232,-27.45599,153.026255,70.0,35.0,3043.0,418.0,2125.0,2.2,High
233,-27.426778,153.032896,280.0,33.0,2084.0,315.0,1850.0,2.0,Medium
234,-27.458803,153.021193,67.0,31.0,1800.0,450.0,1931.0,2.0,High
235,-27.426825,153.032966,582.0,33.0,2084.0,315.0,1850.0,2.0,High
236,-27.456696,153.024543,79.0,35.0,3043.0,418.0,2125.0,2.2,High
237,-27.441111,153.031096,881.0,28.0,2000.0,450.0,2225.0,2.0,Medium
238,-27.455873,153.025521,76.0,35.0,3043.0,418.0,2125.0,2.2,Very Low
239,-27.45424,153.026775,67.0,35.0,3043.0,418.0,2125.0,2.2,Very Low
240,-27.45213,153.028817,1004.0,35.0,3043.0,418.0,2125.0,2.2,High
241,-27.45228,153.029062,930.0,28.0,1444.0,345.0,1264.0,1.4,High
242,-27.441232,153.031287,848.0,28.0,2000.0,450.0,2225.0,2.0,High
243,-27.4603,153.021201,64.0,31.0,1800.0,450.0,1931.0,2.0,Low
244,-27.4606,153.023211,64.0,31.0,1800.0,450.0,1931.0,2.0,Medium
245,-27.457998,153.023617,76.0,31.0,1800.0,450.0,1931.0,2.0,Medium
246,-27.530736,153.059468,42.0,38.0,2281.0,440.0,2750.0,2.8,Low
247,-27.532589,153.066374,51.0,36.0,2500.0,473.0,2658.0,2.9,Very Low
248,-27.534052,153.061904,48.0,38.0,2281.0,440.0,2750.0,2.8,Very Low
249,-27.459306,153.019765,67.0,40.0,2500.0,170.0,1583.0,2.0,High
250,-27.457995,153.023848,70.0,34.0,1950.0,395.0,1920.0,2.1,High
251,-27.533225,153.065603,60.0,37.0,2237.0,438.0,2673.0,2.8,Medium
252,-27.534053,153.064068,51.0,36.0,2500.0,473.0,2658.0,2.9,Very Low
253,-27.534205,153.06403,60.0,37.0,2237.0,438.0,2673.0,2.8,Medium
254,-27.45857,153.021615,76.0,31.0,1800.0,450.0,1931.0,2.0,Medium
255,-27.459507,153.019121,73.0,40.0,2500.0,170.0,1583.0,2.0,High
256,-27.45379,153.029519,933.0,28.0,1100.0,355.0,1394.0,1.6,High
257,-27.454553,153.029883,937.0,39.0,1306.0,275.0,993.0,1.5,High
258,-27.455578,153.031176,1015.0,39.0,1306.0,275.0,993.0,1.5,High
