,stop_id,frequency
1177,5185,48
1178,12021,48
1179,2299,48
1180,2302,48
1181,14049,48
1182,2269,48
1183,5748,48
1184,2307,48
1185,2313,48
1186,2315,48
1187,457,48
1188,5749,48
1189,5755,48
1190,11212,48
1191,10652,48
1192,2976,48
1193,2329,48
1194,5756,48
1195,13099,48
1196,5157,48
1197,5765,48
1198,13097,48
1199,5723,48
1200,1512,48
1201,10897,48
1202,5724,48
1203,5727,48
1204,5728,48
1205,1536,48
1206,1535,48
1207,1534,48
1208,3017,48
1209,5735,48
1210,1528,48
1211,1527,48
1212,1526,48
1213,1525,48
1214,5780,48
1215,5777,48
1216,5745,48
1217,2238,48
1218,1521,48
1219,1520,48
1220,1514,48
1221,5736,48
1222,5737,48
1223,445,48
1224,4304,48
1225,5738,48
1226,5739,48
1227,5740,48
1228,5741,48
1229,5192,48
1230,13094,48
1231,5188,48
1232,1523,48
1233,5685,48
1234,4269,48
1235,5763,48
1236,5585,48
1237,12011,48
1238,5232,48
1239,2589,48
1240,11284,48
1241,12010,48
1242,5613,48
1243,5614,48
1244,14001,48
1245,4229,48
1246,5615,48
1247,5616,48
1248,10277,48
1249,11067,48
1250,11063,48
1251,3290,48
1252,5618,48
1253,51724,48
1254,51723,48
1255,51722,48
1256,5619,48
1257,5621,48
1258,14007,48
1259,12012,48
1260,5866,48
1261,12013,48
1262,12092,48
1263,5542,48
1264,3206,48
1265,3207,48
1266,12015,48
1267,3210,48
1268,2896,48
1269,3214,48
1270,5552,48
1271,5554,48
1272,10229,48
1273,5555,48
1274,2899,48
1275,5318,48
1276,12016,48
1277,5565,48
1278,12020,48
1279,14003,48
1280,12090,48
1281,5573,48
1282,4046,48
1283,5574,48
1284,14002,48
1285,5575,48
1286,12014,48
1287,5865,48
1288,12017,48
1289,5623,48
1290,5216,48
1291,12019,48
1292,5212,48
1293,15662,48
1294,10289,48
1295,6077,48
1296,10463,48
1297,1072,48
1298,1068,48
1299,4154,48
1300,5622,48
1301,5209,48
1302,2505,48
1303,5681,48
1304,51300,48
1305,5682,48
1306,2502,48
1307,2501,48
1308,14021,48
1309,14100,48
1310,2497,48
1311,2496,48
1312,5208,48
1313,5680,48
1314,10420,48
1315,51691,48
1316,12018,48
1317,5624,48
1318,12009,48
1319,51693,48
1320,12008,48
1321,5639,48
1322,2923,48
1323,5229,48
1324,51692,48
1325,10398,48
1326,5218,48
1327,10278,48
1328,14101,48
1329,14005,48
1330,10280,48
1331,2539,48
1332,14009,48
1333,10282,48
1334,5663,48
1335,5666,48
1336,5762,48
1337,5078,48
1338,576,48
1339,5667,48
1340,5319,48
1341,3144,49
1342,1033,49
1343,3150,49
1344,3348,49
1345,4215,50
1346,203599,51
1347,10697,51
1348,5231,51
1349,5541,51
1350,3959,51
1351,3960,51
1352,10451,51
1353,5213,51
1354,6284,51
1355,5504,51
1356,5196,51
1357,5195,51
1358,575,51
1359,15005,51
1360,5197,51
1361,4242,51
1362,5557,51
1363,5556,51
1364,581,51
1365,5551,51
1366,5186,51
1367,5230,51
1368,3995,52
1369,4789,52
1370,4441,52
1371,4443,52
1372,4444,52
1373,4445,52
1374,4787,52
1375,4174,53
1376,14046,54
1377,2892,54
1378,2891,54
1379,14047,54
1380,2887,54
1381,2918,54
1382,14048,54
1383,14045,54
1384,14050,54
1385,14043,54
1386,3345,54
1387,10194,54
1388,165,54
1389,14044,54
1390,2255,54
1391,2258,54
1392,2259,54
1393,4272,54
1394,2263,54
1395,2265,54
1396,60065,54
1397,3323,54
1398,4960,54
1399,4961,54
1400,6256,55
1401,2493,55
1402,2552,55
1403,6030,55
1404,2651,55
1405,6029,55
1406,3684,55
1407,3708,55
1408,19076,55
1409,19077,55
1410,12030,55
1411,10195,55
1412,12031,55
1413,3704,55
1414,12087,55
1415,3667,55
1416,3681,55
1417,6267,55
1418,13083,55
1419,10188,55
1420,6253,55
1421,13065,55
1422,6221,55
1423,2590,55
1424,10428,55
1425,3703,55
1426,2591,55
1427,2592,55
1428,12028,55
1429,10530,55
1430,3675,55
1431,6269,55
1432,10607,56
1433,10621,56
1434,3157,56
1435,5675,56
1436,3355,56
1437,3163,56
